,record_num,route_number,id,bearing,current_status,current_stop_sequence,direction_id,label,latitude,longitude,occupancy_status,speed,updated_at
0,1,1,y1889,132,IN_TRANSIT_TO,5,1,1889,42.36797164,-71.10786125,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
1,2,1,y1868,340,IN_TRANSIT_TO,14,0,1868,42.34991455,-71.08897869,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
2,3,1,y1855,191,IN_TRANSIT_TO,11,1,1855,42.34978765,-71.08897506,FEW_SEATS_AVAILABLE,,11/10/2022 17:34
3,4,1,y1846,165,IN_TRANSIT_TO,13,1,1846,42.34432805,-71.08631596,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
4,5,1,y1818,301,IN_TRANSIT_TO,20,0,1818,42.36884605,-71.10957962,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
5,6,1,y1771,135,IN_TRANSIT_TO,1,1,1771,42.32974,-71.08347,,,11/10/2022 17:33
6,7,1,y1738,160,IN_TRANSIT_TO,12,1,1738,42.34570981,-71.08690767,FULL,,11/10/2022 17:34
7,8,1,y1724,284,IN_TRANSIT_TO,22,0,1724,42.37013676,-71.11323133,FEW_SEATS_AVAILABLE,,11/10/2022 17:34
8,9,1,y1722,0,IN_TRANSIT_TO,1,1,1722,42.32991626,-71.08371661,FEW_SEATS_AVAILABLE,,11/10/2022 17:33
9,10,1,y1889,132,IN_TRANSIT_TO,5,1,1889,42.36797164,-71.10786125,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
10,11,1,y1868,340,IN_TRANSIT_TO,14,0,1868,42.34991455,-71.08897869,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
11,12,1,y1855,191,IN_TRANSIT_TO,11,1,1855,42.34978765,-71.08897506,FEW_SEATS_AVAILABLE,,11/10/2022 17:34
12,13,1,y1846,165,IN_TRANSIT_TO,13,1,1846,42.34432805,-71.08631596,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
13,14,1,y1818,301,IN_TRANSIT_TO,20,0,1818,42.36884605,-71.10957962,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
14,15,1,y1771,135,IN_TRANSIT_TO,1,1,1771,42.32974,-71.08347,,,11/10/2022 17:33
15,16,1,y1738,160,IN_TRANSIT_TO,12,1,1738,42.34570981,-71.08690767,FULL,,11/10/2022 17:34
16,17,1,y1724,284,IN_TRANSIT_TO,22,0,1724,42.37013676,-71.11323133,FEW_SEATS_AVAILABLE,,11/10/2022 17:34
17,18,1,y1722,0,IN_TRANSIT_TO,1,1,1722,42.32991626,-71.08371661,FEW_SEATS_AVAILABLE,,11/10/2022 17:33
18,19,1,y1889,130,IN_TRANSIT_TO,5,1,1889,42.36774957,-71.10742568,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
19,20,1,y1868,317,IN_TRANSIT_TO,14,0,1868,42.35068399,-71.08946843,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
20,21,1,y1855,0,IN_TRANSIT_TO,11,1,1855,42.34981496,-71.08894813,FEW_SEATS_AVAILABLE,,11/10/2022 17:34
21,22,1,y1846,131,IN_TRANSIT_TO,13,1,1846,42.34423363,-71.08630579,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
22,23,1,y1818,298,IN_TRANSIT_TO,21,0,1818,42.36929857,-71.11084563,MANY_SEATS_AVAILABLE,,11/10/2022 17:34
23,24,1,y1771,135,IN_TRANSIT_TO,1,1,1771,42.32974,-71.08347,,,11/10/2022 17:34
24,25,1,y1738,160,IN_TRANSIT_TO,13,1,1738,42.34458784,-71.0864287,FEW_SEATS_AVAILABLE,,11/10/2022 17:34
25,26,1,y1724,0,IN_TRANSIT_TO,22,0,1724,42.37019137,-71.11335137,FEW_SEATS_AVAILABLE,,11/10/2022 17:34
26,27,1,y1722,0,IN_TRANSIT_TO,1,1,1722,42.32991626,-71.08371661,FEW_SEATS_AVAILABLE,,11/10/2022 17:33
